token,mean_importance_yta,mean_importance_nta,diff,count_yta_docs,count_nta_docs,abs_diff
down,0.0,0.3949599534444664,-0.3949599534444664,0,1,0.3949599534444664
hard,0.3935747281112733,0.0,0.3935747281112733,1,0,0.3935747281112733
subsequent,0.3909681492971612,0.0,0.3909681492971612,1,0,0.3909681492971612
bad,0.39033556590544505,0.0,0.39033556590544505,1,0,0.39033556590544505
standing,0.38999877054491444,0.0,0.38999877054491444,1,0,0.38999877054491444
try,0.38993036968925404,0.0,0.38993036968925404,1,0,0.38993036968925404
buying,1.0,0.6147769913358218,0.38522300866417825,1,1,0.38522300866417825
argument,0.888398629066376,0.5049032180643683,0.3834954110020077,2,3,0.3834954110020077
beach,0.1718120892552607,0.5514477311444468,-0.3796356418891861,1,1,0.3796356418891861
immediately,0.4901990368865002,0.11181688679071122,0.37838215009578896,2,2,0.37838215009578896
intention,0.37367074930738864,0.0,0.37367074930738864,1,0,0.37367074930738864
confrontational,0.0,0.37291485245427036,-0.37291485245427036,0,1,0.37291485245427036
further,0.5211451869091694,0.15049707038580312,0.3706481165233663,2,1,0.3706481165233663
complain,0.369899909562333,0.0,0.369899909562333,1,0,0.369899909562333
places,0.6871309093068507,0.31727257830224714,0.3698583310046036,1,1,0.3698583310046036
functional,0.0,0.36446370577789083,-0.36446370577789083,0,1,0.36446370577789083
wayyy,0.0,0.3638926632373354,-0.3638926632373354,0,1,0.3638926632373354
looking,0.5238396177720132,0.1631494982425738,0.36069011952943936,2,2,0.36069011952943936
tires,0.3598414495265173,0.0,0.3598414495265173,1,0,0.3598414495265173
arsehole,0.0,0.3598004439333256,-0.3598004439333256,0,1,0.3598004439333256
reason,0.11273199631505983,0.47209566409413756,-0.35936366777907774,1,1,0.35936366777907774
add,0.0,0.35549199077650906,-0.35549199077650906,0,1,0.35549199077650906
cruel,0.10447604970951649,0.4594717784088897,-0.35499572869937324,1,1,0.35499572869937324
stayed,0.5097482102469848,0.15505493043873816,0.3546932798082466,1,1,0.3546932798082466
coworker,0.0,0.3546277698794271,-0.3546277698794271,0,1,0.3546277698794271
/,0.0,0.354156211059963,-0.354156211059963,0,1,0.354156211059963
stupid,0.3485246607511774,0.0,0.3485246607511774,1,0,0.3485246607511774
multiple,0.7063828465334531,0.35785981219800256,0.3485230343354505,1,1,0.3485230343354505
insistence,0.3445565186276344,0.0,0.3445565186276344,1,0,0.3445565186276344
lead,0.09289668781969455,0.43577409872635064,-0.3428774109066561,1,1,0.3428774109066561
neighbors,0.6591442750850981,1.0,-0.3408557249149019,1,1,0.3408557249149019
paid,0.0,0.3401100068988684,-0.3401100068988684,0,1,0.3401100068988684
flaws,0.3372278760276628,0.0,0.3372278760276628,1,0,0.3372278760276628
buddies,0.46233398564391714,0.12708497283401549,0.33524901280990166,1,1,0.33524901280990166
apologizes,0.3341890059721628,0.0,0.3341890059721628,1,0,0.3341890059721628
headphones,0.47971802066227465,0.1456441444517747,0.33407387621049994,1,1,0.33407387621049994
old,0.635167358605997,0.30124717657903494,0.3339201820269621,2,2,0.3339201820269621
ms,0.6179554504611559,0.2844748413807387,0.33348060908041716,1,1,0.33348060908041716
chat,0.0,0.3316000590880982,-0.3316000590880982,0,1,0.3316000590880982
cancelling,0.15639942280294114,0.4847213752369173,-0.3283219524339761,1,1,0.3283219524339761
answering,0.0,0.32759423522158504,-0.32759423522158504,0,1,0.32759423522158504
bothered,0.3250206585839966,0.0,0.3250206585839966,1,0,0.3250206585839966
much,0.0,0.31941941989731537,-0.31941941989731537,0,1,0.31941941989731537
anniversay,0.686173250079429,0.36712118243649305,0.3190520676429359,1,1,0.3190520676429359
fire,0.31625181600035024,0.0,0.31625181600035024,1,0,0.31625181600035024
visibly,0.31441164829942453,0.0,0.31441164829942453,1,0,0.31441164829942453
decided,0.4954782207364584,0.18180076545929552,0.3136774552771629,1,4,0.3136774552771629
sent,0.6608018148987377,0.34721286322455613,0.31358895167418155,1,1,0.31358895167418155
italics,0.3129356588473642,0.0,0.3129356588473642,1,0,0.3129356588473642
quality,0.3124713959037197,0.0,0.3124713959037197,1,0,0.3124713959037197
zoom,0.31093765981305216,0.0,0.31093765981305216,1,0,0.31093765981305216
topic,0.31037355815323237,0.0,0.31037355815323237,1,0,0.31037355815323237
come,0.0,0.3095536562519422,-0.3095536562519422,0,1,0.3095536562519422
interest,0.0,0.3041296841750656,-0.3041296841750656,0,2,0.3041296841750656
shutting,0.3000367502872666,0.0,0.3000367502872666,1,0,0.3000367502872666
skin,0.0,0.2983536006167038,-0.2983536006167038,0,2,0.2983536006167038
afterwards,0.5520108322471212,0.25386998322253335,0.2981408490245879,1,1,0.2981408490245879
playing,0.8078752821063159,0.5108112504960343,0.2970640316102816,4,5,0.2970640316102816
blue,0.2911024055774731,0.0,0.2911024055774731,1,0,0.2911024055774731
legally,0.0,0.29056450499528647,-0.29056450499528647,0,1,0.29056450499528647
progress,0.0,0.2905264366671959,-0.2905264366671959,0,1,0.2905264366671959
bashful,0.3685483000471931,0.07942354975330547,0.2891247502938876,4,4,0.2891247502938876
check,0.28832671964899026,0.0,0.28832671964899026,1,0,0.28832671964899026
janet,0.5380501333512004,0.24980071348706864,0.2882494198641318,1,1,0.2882494198641318
showed,0.5686264802120793,0.280911215361945,0.28771526485013427,1,1,0.28771526485013427
politely,0.618872645761762,0.9050489060402424,-0.2861762602784803,2,1,0.2861762602784803
trans,0.40546178944847305,0.1198832847383914,0.28557850471008167,1,1,0.28557850471008167
virtual,0.0,0.284355949962757,-0.284355949962757,0,1,0.284355949962757
confront,0.19364918482491617,0.4767579444030476,-0.2831087595781314,1,1,0.2831087595781314
days,0.0,0.2813526546907923,-0.2813526546907923,0,2,0.2813526546907923
close,0.0,0.28027906403101177,-0.28027906403101177,0,1,0.28027906403101177
